id,keywords,jobId,jobTitle,jobType,description,industry,jobFunction,companyName,employmentType,companyUrl,companyAddress,seniorityLevel,pubTime,createdTime,updatedTime
1,social network analysis,1870208712,DevOps Engineer Cloud Python - Remote Interview,linkedin,"DevOps Engineer London to £65kDevOps Engineer (Cloud AWS Python Linux). Are you a technologist DevOps Engineer looking to progress your career working on complex and challenging systems, collaborating with peers to solve problems and contributing to architectural decisions?You could be joining a FinTech solutions provider as they expand their UK presence. As a DevOps Engineer you will help to develop the infrastructure for the core trading product, which is offered to clients as either a hosted service or as a software product deployed to their own infrastructure. You'll focus on automating Cloud deployments (CI/ CD), enhancing the monitoring capabilities, supporting live environments and will gain exposure to Information Security related tasks such as administering privileges, addressing issues such as vulnerability scan findings and coordination of penetration testing. You'll be continually learning new skills and methods, working with the latest technologies in a supportive team environment.You'll be based in modern open plan City based offices. Driven by technology the company is able to offer a remote interview and onboarding process during the current social distancing measures.RequirementsStrong knowledge of Linux OS including Linux SysAdmin experience including terminal and bash scriptsStrong Python coding skillsStrong deployment and automation technologies (e.g. Ansible, Chef, Terraform, CloudFormation)Strong understanding and experience with AWSUnderstanding of networks and network securityGood analysis and problem solving skillsCollaborative, keen to learn and share ideasAs a DevOps Engineer you will earn a competitive salary (to £65k) plus bonus and benefits.Apply now or call 020 8016 4450 to find out more about this DevOps Engineer (Cloud AWS Python Linux) opportunity.",Information Technology and Services,Other,Client Server,Full-time,,"London, England, United Kingdom",Entry level,2020/5/19,19/5/2020 20:39:43,19/5/2020 20:39:43
2,social network analysis,1793085047,Senior Data Scientist,linkedin,"DescriptionJob Description:Are you a Senior Data Scientist that likes to perform research-level data analytics willing to work in Reston, VA and at our customer sites in the National Capital Region to support ongoing and future programs to advance the state of the art in research and advanced machine learning and data fusion applications in the areas of mission-focused big data analytics and predictive analytics? You will be designing and optimizing a Data Science platform to advance national security objectives, produce and analyze results, disseminate findings, and contribute to publications and presentations with actionable intelligence insights. Exciting right!!Fun Stuff On The Job You Will Do Work closely with software developers, network engineers, senior investigators, program managers, researchers, and data analysts on small teams to design and optimize a Data Science platform (DOMEX Data Discovery Platform _ D3P) to produce and analyze results, disseminate findings, and contribute to publications and presentations. Work on small projects analyzing a variety of big data covering national security, cyber security, business intelligence, online social media, human behavior and more. Support multiple simultaneous projects and take open-ended or high-level guidance, independently and collaboratively make discoveries that are mission-relevant, and package and deliver the findings to a non-technical audience. Have a mix of intellectual curiosity, quantitative acumen, and customer-focus to identify novel sources of data across a range of fields, to improve the performance of predictive algorithms, and to encourage user adoption of high-end data analytics platforms in partnership with a highly qualified, highly motivated team. Have a strong background in research design, exploratory analysis, quantitative methods, user interface application design, and experience with customer outreach and engagement.To be successful in this role you need the following: B.S. Degree in a quantitative or analytical field such as Computer Science, Mathematics, Economics, Statistics, Engineering, Physics, or Computational Social Science; or Master__ degree or equivalent graduate degree including certificate-based advanced training courses 12+ years of experience in data science, analytics or quantitative intelligence analysis, and demonstrating progressive technical development and outcomes. 10+ years of experience required with MS. Must have an active TS clearance and must be able to achieve a TS/SCI clearance with Polygraph Significant experience in one or more scripting languages such as R or Python Proficient in one or more big data programming languages, such as Java or Python Experience working with a hybrid team of analyst, engineers, and developers to conduct research, and build and deploy complex, but easy-to-use analytical platforms Previous experience performing research in Data Analytics or big data Track record of active learning and creative problem solving Ability to analyze and assess software development or data acquisition requirements and determine optimum, cost-effective solutionsYou will wow us even more if you have these skills: A significant share of your data analytics experience in direct support if military or intelligence community customers, demonstrating progressive technical development and mission-focused outcomes Significant experience dealing with open source, publicly available information (PAI) data sources and types Significant experience performing quantitative analysis to support military or intelligence community operational activities Previous experience developing predictive algorithms Experience supporting cyber security or network security operations Familiarity with social network analysis, supply chain analysis, forensic accounting, pattern of life, natural language processing, social media analysis, classification algorithms, and/or image processing Experience blending analytical methodologies and leveraging existing COTS/GOTS/OS tools in unconventional manners Familiarity utilizing virtualization and distributed field systems, such as Hadoop (or similar distributed file systems) in development and deployment environments Familiarity using git, svn, JIRA, or other version control technologies Experience with Amazon Web Services (AWS/C2S) Familiarity with hardware platforms, e.g., CPUs, GPUs, FPGAs, etc.LInCD3PExternal Eligible ReferralExternal Referral BonusEligiblePotential For TeleworkNoClearance Level RequiredTop SecretTravelYes, 10% of the timeScheduled Weekly Hours40ShiftDayRequisition CategoryProfessionalJob FamilyData ScientistLeidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world's toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company's 33,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Virginia, Leidos reported annual revenues of approximately $10.19 billion for the fiscal year ended December 28, 2018. For more information, visit www.Leidos.com.Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.",Defense & Space,Other,"Reston, VA",Full-time,https://www.linkedin.com/company/leidos?trk=public_jobs_topcard_org_name,"Reston, VA",Mid-Senior level,2020/5/19,19/5/2020 20:39:43,19/5/2020 20:39:43
3,social network analysis,1865976463,Data Analyst,linkedin,"Findasense is a fast-growing company. It has developed and deployed marketing and consumer interaction solutions to more than 40 markets over the last 4 years. Since 2011, our team has doubled its size every year, and now comprises more than 250 full-time professionals. Findasense is fully aimed and committed to creating an outstanding, global and networked organization, with innovation, creativity and smart client service practices at the heart of all operations and capabilities. We love humble, talented, and ambitious people with a strong __an-do' and __tart-up' attitude.Imagine a place where you work hand to hand with your client and team within a highly creative environment. Mission:Our Data Analyst will collaborate with the data analysis team on developing new tools and getting insights whether from generated models output or from basic statistics or even from some wrangling data.To keep a curious and skeptic spirit and being enthusiastic for learning about anything and finding ways to discover new methods and solutions.Outcomes and accountabilitiesExtract, process, analyze and present data for the team and client, focused on the strategic objectives.Create reports: Daily, weekly and monthly alerts or reports.Monitoring of social networks and media for the identification and mapping of topics of interest to our clients.Developing new tools that help automate any task or make easier ways to extract and analyze data.Defining guidelines to data treatment processes within the company.Mentoring team members and partners.Requirements:Fully proficient in English and Spanish. Other languages are a plus.Experience in visualization frameworks and systems, e.g. Tableau, Power BI, Data Studio, etc.2 + years of experience in data analysis.Advanced in Excel.Experience with Social Listening tools (Netbase, Sysomos, etc).Advanced in PowerPoint/Keynote.Good knowledge of statistics.Social network analysis (Sprinklr, Facebook Business Manager, etc).Good capability for complex analysis and synthesis.Proactive attitude, look for improvement points and propose solutions.Rigorous and strict enough to follow methodic working lines.Benefits:As a Findasense employee, your annual compensation package will include:23 free days per year.Health Insurance.Flexible job schedule.",Marketing and Advertising,"Analyst,Research","Covibar Madrid, Community of Madrid, Spain",Full-time,https://es.linkedin.com/company/findasense?trk=public_jobs_topcard_org_name,"Covibar Madrid, Community of Madrid, Spain",Associate,2020/5/19,19/5/2020 20:39:44,19/5/2020 20:39:44
4,social network analysis,1789061042,Remote Principal Engineer,linkedin,"JOB DESCRIPTION:_Kimetrica (www.kimetrica.com) seeks a Remote Principal Engineer to help with the development and operations of multiple projects._Kimetrica's project portfolio includes data analysis, website development, data visualization, and custom modeling. Principal Engineers at Kimetrica are responsible for leading the design and implementation of complex systems that span multiple customers._This position is focused on the role of a Principal Data Engineer, to design and manage a data warehouse that unifies econometric, geospatial, textual, and other tabular data related to market prices, agriculture production, and other critical drivers of food security._JOB DUTIES:__Manage or indirectly lead a department of software engineers, including staff selection, quality assurance, setting a vision, and enforcing best practices_Develop software design directions that are forward-looking and allow for organic growth of capabilities from project to programs_Guide staff on decisions that have large effects and provide direct guidance when establishing critical software baselines_Provide approval of sprint plans and story quality_Manage and lead a team of engineers, or provide design guidance across software teams in a senior capacity_Oversee and manage team work allocations, ensuring consistent quality_Maintain staff and identify new positions required for hiring_Develop software features against a backlog of priorities_Identify solutions to customer requirements_Design scalable solutions for high-integrity data requirements_Create prototypical user interfaces and APIs for system interactions_Implement and deploy completed solutions and/or open source softwareQUALIFICATIONS AND SKILLS:__Experience as a Lead Engineer on complex software development projects, with demonstrated experience in soliciting customer requirements designing systems and work plans. It is important to have a proven ability to design and implement software with a long-term value through delivery of complex software deliveries in an environment of changing customer requirements_Bachelor's degree in computer science or equivalent work history, with 10 years of relevant software development and leadership experience_Fluency in Python, PostgreSQL, Django, AWS, Docker technologies is required_Experience with Postgres/PostGIS and processing pipeline coordination libraries (e.g. Luigi) technologies is highly desired_Experience with Flask, ETL/Data Processing and Data Visualization Experience (e.g. D3, Mapping Libraries) technologies are highly beneficial but not requiredSALARY RANGE:_$140,000.00-$160,000.00 Yearly_JOB CATEGORY:_Full Time / Permanent EmployeeLOCATION: Remote / Work from Home (Anywhere across the US)_ORGANIZATION DESCRIPTION:_Formed by a group of former humanitarian and development workers in 2006, Kimetrica is a social enterprise focused on providing policy makers and project managers with the tools and skills they need to do their jobs well. Our work centers on providing knowledge management solutions for governments, bilateral, and multilateral donors, and not-for-profit organizations in the areas of performance management and disaster risk reduction. With offices in the United States and East Africa, Kimetrica employs 80 full-time professional staff and an extensive network of sector specialists with expertise ranging from early warning and contingency planning to social protection and research and data analysis.EQUAL EMPLOYMENT OPPORTUNITY:_We__e proud to be an equal opportunity employer and celebrate our employees_ differences, including race, color, religion, sex, sexual orientation, gender identity, and national origin.",Research,"Information Technology,Project Management,Strategy/Planning","Kimetrica, LLC",Full-time,,"Washington, DC",Mid-Senior level,2020/5/19,19/5/2020 20:39:46,19/5/2020 20:39:46
5,social network analysis,1869793420,Contract - Tech Professional Data Analytics,linkedin,"Contract - Tech Professional Data AnalyticsMalibu, CA, USA Req #84Saturday, February 8, 2020Located in Malibu, California, HRL has been on the leading edge of technology, conducting pioneering research and advancing the state of the art.ASSIGNMENT DURATION: 1 yearLABOR CHARGE: DIRECTSCHEDULED WORK WEEK HOURS: 10-40EDUCATION DESIRED: BS., MS. or Ph.D in Computer Science, EE or related fieldsESSENTIAL JOB FUNCTIONS: Primary job function is to assist in designing, implementing and evaluating the performance of algorithms for several data analytics and social media analytics projects. Tasks will include the development, simulation, evaluation, and implementation of algorithms and models.EXPERIENCE DESIRED: Experience in one or more of the following areas: Information extraction, data mining, web &amp; social media processing, and large-scale, big data processing.KNOWLEDGE DESIRED: Background in the following areas: natural language processing, social network analysis, data mining, database, web crawling, strong programming skills, particularly proficient with C/C++ or Java. Experience with MapReduce, Hadoop, Nutch and Lucene is a plus.SPECIAL REQUIREMENTS (e.g. driver's license special tools or restrictions): U.S. citizenship or permanent resident status required.Selected candidates will be hired through a temporary agency and subject to the agency's pre-employment substance abuse testing.This position must meet Export Control compliance requirements, therefore a ""U.S. Person"" as defined by 22 C.F.R. 120.15 is required. ""U.S. Person"" includes U.S. Citizen, lawful permanent resident, refugee, or asylee.HRL offers a very competitive compensation and benefits package. Our benefits include medical, dental, vision, life insurance, 401K match, gym facilities, PTO, growth potential, and an exciting and challenging work environment.HRL Laboratories is an Equal Employment Opportunity employer and does not discriminate in recruiting, hiring, training or promoting, on the basis of race, ethnicity, color, creed, religion, sex, sexual orientation, gender, gender identity, genetic information, national origin, physical or mental disability, pregnancy, medical condition, U.S. military or protected veteran status, union membership, or political affiliation. We maintain a drug-free workplace and perform pre-employment substance abuse testing.",Information Technology and Services,Information Technology,"Malibu, CA",Contract,https://au.linkedin.com/company/hrl-technology?trk=public_jobs_topcard_org_name,"Malibu, CA",Associate,2020/5/19,19/5/2020 20:39:46,19/5/2020 20:39:46
6,social network analysis,1869904971,Crebs - Creative and Tech Jobs,linkedin,"In previsione di un ampliamento del nostro organico ricerchiamo su Roma una figura di _ Social Media Manager _ che abbia, in particolare, competenza ed esperienza nelle attivit_ di misurazione dei risultati e definizione di input strategici volti al mantenimento/miglioramento delle performance, in linea con la brand identity del cliente. La risorsa si inserir_ all__nterno di un team gi_ strutturato e si occuper_ in autonomia - riportando direttamente al responsabile delle attivit_ social _ del monitoraggio delle performance e dell__nalisi delle properties social dei clienti, utilizzando piattaforme di social media management, social analytics e online sentiment, finalizzando la misurazione dei principali KPI attraverso la redazione di report mensili. L__ttivit_ sar_ svolta principalmente in modalit_ di telelavoro e sono altresì previsti eventuali periodi di operativit_ presso l__zienda cliente, a seconda dei progetti nei quali la risorsa sar_ inserita. Il candidato ideale è in possesso dei seguenti requisiti: minimo 2/3 anni di esperienza nel ruolo, in agenzia e/o azienda preferibile percorso di studi nell__mbito della Comunicazione conoscenza approfondita dei principali social network e aggiornamento costante sui nuovi trend, novit_ e curiosit_, sapendo cogliere le opportunit_ per il brand competenza nell__ttivit_ di social media analysis e dimestichezza nell__so di piattaforme specifiche di misurazione e social listening (Talkwalker, Fanpagekarma, Onlypult, etc.) capacit_ di definizione, misurazione e interpretazione dei principali KPI competenze nella redazione di reportistica capacit_ di lavorare su assignment di carattere strategico capacit_ organizzativa personale, autonomia lavorativa e propositivit_ Completano il profilo capacit_ di scrittura, precisione, flessibilit_ e ottime capacit_ relazionali per rapportarsi sia all__nterno del team sia con i clienti. _ inoltre gradito l__ver maturato precedenti esperienze, nel ruolo, nel settore dell__nformazione, new media o editoria. La ricerca è riservata a candidati con Partita Iva e residenti a Roma.",,"Marketing,Sales",Reallife Television Spa,Full-time,,"Rome, Latium, Italy",Entry level,2020/5/19,19/5/2020 20:39:47,19/5/2020 20:39:47
7,social network analysis,1869967101,Learning and development specialist,linkedin,"REPORT TO Head of LearningMISSION AND OBJECTIVES Come help us contribute to the growth of our Canadian platform!You Will Benefit Amongst Other Things From Access to social volunteer and recreational programs, via our many Employee Resource Groups (ERGs) Opportunities for career development through active internal mobility and our innovative training program: Canada Academy A brand new workspace, flexible, comfortable and easily adaptable to your needs: remote work opportunities, standing desks, innovation lab., open meeting rooms and spacesAbout The DepartmentWe provide all Human Resources services: recruitment, administration of benefits, support and professional development at the Canadian platform.As part of the Talent and Development Team for North America, the Head of Learning will collaborate closely with the HQ (Group), HR Business Partners and business leaders to strategize, implement and execute learning and development solutions focused on talent management, performance development, team/organizational effectiveness, change management/acceleration and career development. In this role, the individual will have an opportunity to leverage their development expertise to provide strategic partnership and support business objectivesAs part of the human resources team and under the responsibility of the Head of Training and Development Canada, the learning and development specialist will develop new training offerings, fostering a culture of continuous learning and knowledge sharing within the Bank. You will support the responsible of training and development Canada in maintaining and improving Canada's training offerMain ResponsibilitiesAdministrativeManage the catalog with a variety of stakeholders: external service providers and internal trainers / facilitators.Coordinate training logisticsEnsure the logistics of each training session, keep the program sharepoint up to date, set up satisfaction surveys and analyze the resultsAssess overall impact and effectiveness of learning programs. Use industry standards and best class benchmarks to enhance programs and the employee experience. ProjectBuild new development offers aligned with the present and future needs of different business lines and employees. Understand the challenges, propose and then implement the solutions.Deliver innovative and relevant development solutions for employees, managers/leaders, and teams by fully utilizing our internal resources and where applicable, exploring alternative, external solutions.Develop and maintain the training offer for new entrants: knowledge of the company and the platform, skill development in the team.Contribute to cross-functional programs related to employee development.(Mobility, Diversity &amp; Inclusion, talent_)Participate in different regional projects with the US CommunicationFacilitate the community of experts ""Canada Academy"" and the training program in ""social learning"". Engage, develop and maintain the internal trainer network.Partner effectively with regional and Headquarter partners to identify synergies across region and implement best practicesManage strategic projects/initiatives within the assigned business unit, execute on all deliverables with excellence, and communicate with stakeholders and key partners. Data analysisMonitor new trends in training and propose innovative initiatives.Leverage data from performance reviews and other talent assessment tools to conduct needs analysis and identity gaps at the individual, team and organizational levelsTraining And Occupational ExperienceBachelor's degree in training or in a relevant field related to project management3 years of experience in project management1 year of experience in training development in a banking institution an assetExperience in organizing training events an assetEssential Specific RequirementsBilingual : English and FrenchSkills And BehavioursExceptional facilitator with elevated verbal and written communication skillsUnyielding passion and drive for personal development and learning.Has a high standard of excellence and is client-focusedCan develop impactful, client-ready presentationsAbility to communicate and influence various stakeholdersStrong organizational, prioritization and initiative skillsExcellent collaborative senseCreative, innovative and proactiveGood command of Office suite tools, in particular Excel and PowerpointMastery of Sharepoint an assetA Recruitment Policy That Promotes Equity And DiversityEquity and diversity are at the core of our recruitment policy because we believe that they foster creativity and efficiency which in turn increase performance and productivity. We strive to reflect the society we live in, while keeping with the image of our clients.We pride ourselves in applying non-discrimination rules to all our recruitments.We will only contact the candidates selected who meet the job requirements in terms of training and experience.About BNP ParibasBNP Paribas is a leading bank in Europe with an international reach. It has a presence in 73 countries, with more than 195,000 employees, including more than 148,000 in Europe. The Group has key positions in its three main activities: Domestic Markets and International Financial Services (whose retail-banking networks and financial services are covered by Retail Banking &amp; Services) and Corporate &amp; Institutional Banking, which serves two client franchises: corporate clients and institutional investors. The Group helps all its clients (individuals, community associations, entrepreneurs, SMEs, corporates and institutional clients) to realise their projects through solutions spanning financing, investment, savings and protection insurance. In Europe, the Group has four domestic markets (Belgium, France, Italy and Luxembourg) and BNP Paribas Personal Finance is the leader in consumer lending. BNP Paribas is rolling out its integrated retail-banking model in Mediterranean countries, in Turkey, in Eastern Europe and a large network in the western part of the United States. In its Corporate &amp; Institutional Banking and International Financial Services activities, BNP Paribas also enjoys top positions in Europe, a strong presence in the Americas as well as a solid and fast-growing business in Asia-Pacific.About BNP Paribas In CanadaIn Canada, BNP Paribas is one of the dominant foreign banks in the country and is committed to building its platform even further. Since becoming the operational hub for the Group__ activities in North America in 2013, it has grown significantly to reach more than 700 employees and is expected to continue growing in the coming years. With the continued development of technology and financial fields, BNP Paribas Canada continues to attract experts with diverse backgrounds as well as young and ambitious talent from across the globe. With the international mobility and capacity that very few companies can offer, BNP Paribas prides itself in providing a superior foundation for building a professional career - a place for people to learn, to achieve and grow.Primary LocationCA-QC-MontréalJob TypeStandard / PermanentJobHUMAN RESOURCESEducation LevelBachelor Degree or equivalent (&gt;= 3 years)Experience LevelAt least 3 yearsScheduleFull-time",Staffing and Recruiting,Human Resources,"Montreal, Quebec, Canada",Full-time,https://fr.linkedin.com/company/bnp-paribas?trk=public_jobs_topcard_org_name,"Montreal, Quebec, Canada",Entry level,2020/5/19,19/5/2020 20:39:49,19/5/2020 20:39:49
8,social network analysis,1868847104,Internship for Social Media Manager,linkedin,"Job Responsibility Assisting marketing manager To monitor online marketing medium such as social network &amp; mobile applications. To cooperate with other team members to carry out other marketing activities. To marketing or convey company products to market / customers. Assist prepare marketing plan monthly Calling &amp; Follow up client Expand market by developing for new customers Compile all feedback &amp; marketing intelligence for analysis Establish and maintain good relationship with customers Job Requirements Good at Microsoft office. Good at English is preferred. Hard working &amp; able to work independently. Friendly and dynamic working environment that promotes creative thinking and intellectual grow.  Fresh graduates are welcomed Must have a proactive, enthusiastic and fast learner Willing to learn and passionate about marketing Job Benifits Fun working environment to work with Opportunity to be offered full time position Exposure to the real industry",Marketing and Advertising,"Marketing,Public Relations,Writing/Editing",SOCIO Intelligence,Internship,,"Federal Territory of Kuala Lumpur, Malaysia",Internship,2020/5/18,19/5/2020 20:39:50,19/5/2020 20:39:50
9,social network analysis,1844635875,Fiduciary Advisor II,linkedin,"Position Overview At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a(n) [position title] within PNC's [name of division] organization, you will be based in [city/state location of position].Job ProfilePosition OverviewAt PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Fiduciary Advisor II within PNC's Wealth Management organization, you will be based in Blue Bell, PA. In addition, you will work with the Doylestown, PA Wealth Management team.Job DescriptionEngages in fiduciary decision-making by executing the terms of any plan or document in which PNC serves as trustee, guardian or agent. Administers more complex fiduciary accounts and ensures compliance with all legal and fiduciary regulations, policies and procedures. Manages a diverse book of business with varying account types.Delivers the full breadth of the fiduciary platform in order to grow the fiduciary business and assure the highest level of client experience. Administers assigned accounts in accordance with documents, state law, policy and procedure.Handles risk management and the resolution of legal and compliance-related issues for assigned accounts. Communicates with clients, solves problems and escalates anticipated or known client issues/concerns.Maintains and grows assets under management by working with clients, beneficiaries and gatekeepers. Meets with clients both on and off bank premises. Identifies other bank products and services as sales opportunities. Prospects for new clients by asking for referrals from existing clients. Cultivates a network through social contacts and community participation and developing a network of external Centers of Influence.Customizes customer communications or presentations to provide fiduciary advice and introduces planning concepts to meet client needs for assigned accounts. Prepares and presents appropriate analysis and recommendations for senior management or committee review.PNC Employees take pride in our reputation and to continue building upon that we expect our employees to be:Customer Focused - Knowledgeable of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions and able to leverage that information in creating customized customer solutions.Managing Risk - Assessing and effectively managing all of the risks associated with their business objectives and activities to ensure they adhere to and support PNC's Enterprise Risk Management Framework.CompetenciesAccount Management _ Knowledge of account management practices, tasks, and tools and ability to provide services and support to key clients.Accuracy and Attention to Detail _ Understanding of the necessity and value of accuracy and attention to detail; ability to process information with high levels of accuracy.Business Development _ Knowledge of and ability to use tools, techniques and processes for exploring and developing potential areas of business growth for the organization.Effective Communications _ Understanding of effective communication concepts, tools and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs through the application of appropriate communication behaviors.Fiduciary Responsibilities _ Knowledge of tools and facilities for fiduciary products and services; ability to design, develop, and support fiduciary responsibilities and transactions.Problem Solving _ Knowledge of approaches, tools, techniques for recognizing, anticipating, and resolving organizational, operational or process problems; ability to apply this knowledge appropriately to diverse situations.Selling. _ Applies knowledge of banking products and services to meet customer needs and enable them to achieve their financial goals. Identifies prospecting approaches to identify potential customers and create opportunities to sell financial solutions and ideas to customers.Work ExperienceRoles at this level typically require a university / college degree, with 3+ years of relevant / direct industry experience. Certifications are often desired. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.EducationBachelorsDisability Accommodations Statement:The PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com. The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.Equal Employment Opportunity (EEO):PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.California Residents Refer to the California Consumer Privacy Act Privacy Notice to gain understanding of how PNC may use or disclose your personal information in our hiring practices.",Financial Services,Finance,"Blue Bell, PA",Full-time,https://www.linkedin.com/company/pnc-bank?trk=public_jobs_topcard_org_name,"Blue Bell, PA",Not Applicable,2020/5/18,19/5/2020 20:39:51,19/5/2020 20:39:51
10,social network analysis,1869580663,Social Media Manager - Freelance,linkedin,"In previsione di un ampliamento del nostro organico ricerchiamo su  Roma una figura di _ Social Media Manager _ che abbia, in particolare, competenza ed esperienza nelle attivit_ di misurazione dei risultati e definizione di input strategici volti al mantenimento/miglioramento delle performance, in linea con la brand identity del cliente.La risorsa si inserir_ all__nterno di un team gi_ strutturato e si occuper_ in autonomia - riportando direttamente al responsabile delle attivit_ social _ del monitoraggio delle performance e dell__nalisi delle properties social dei clienti, utilizzando piattaforme di social media management, social analytics e online sentiment, finalizzando la misurazione dei principali KPI attraverso la redazione di report mensili.L__ttivit_ sar_ svolta principalmente in modalit_ di telelavoro e sono altresì previsti eventuali periodi di operativit_ presso l__zienda cliente, a seconda dei progetti nei quali la risorsa sar_ inserita.Il Candidato Ideale è In Possesso Dei Seguenti Requisiti minimo 2/3 anni di esperienza nel ruolo, in agenzia e/o azienda  preferibile percorso di studi nell__mbito della Comunicazione  conoscenza approfondita dei principali social network e aggiornamento costante sui nuovi trend, novit_ e curiosit_, sapendo cogliere le opportunit_ per il brand  competenza nell__ttivit_ di social media analysis e dimestichezza nell__so di piattaforme specifiche di misurazione e social listening (Talkwalker, Fanpagekarma, Onlypult, etc.)  capacit_ di definizione, misurazione e interpretazione dei principali KPI  competenze nella redazione di reportistica  capacit_ di lavorare su assignment di carattere strategico  capacit_ organizzativa personale, autonomia lavorativa e propositivit_Completano il profilo capacit_ di scrittura, precisione, flessibilit_ e ottime capacit_ relazionali per rapportarsi sia all__nterno del team sia con i clienti._ inoltre gradito l__ver maturato precedenti esperienze, nel ruolo, nel settore dell__nformazione, new media o editoria.La ricerca è riservata a candidati con Partita Iva e residenti a Roma.",,"Marketing,Public Relations,Writing/Editing",Reallife Television Spa,Full-time,,"Rome, Latium, Italy",Associate,2020/5/18,19/5/2020 20:39:52,19/5/2020 20:39:52
